epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2033.04,1.64222,0.87643,1.06889,0.87024,0.88991,0.91474,0.43078,1.78767,0.84474,1.05377,0.0006865,0.0006865,0.0006865
97,2055.6,1.67045,0.90209,1.07629,0.86909,0.89908,0.92478,0.43613,1.80078,0.83357,1.04971,0.0006832,0.0006832,0.0006832
98,2077.31,1.7299,0.9162,1.08341,0.86909,0.89908,0.92478,0.43613,1.80078,0.83357,1.04971,0.0006799,0.0006799,0.0006799
99,2094.72,1.66574,0.85115,1.05487,0.88237,0.89541,0.93057,0.42931,1.81694,0.83201,1.04776,0.0006766,0.0006766,0.0006766
100,2117.71,1.74175,0.87547,1.088,0.88237,0.89541,0.93057,0.42931,1.81694,0.83201,1.04776,0.0006733,0.0006733,0.0006733
101,2139.19,1.7661,0.87146,1.03828,0.87928,0.88203,0.92181,0.42758,1.82015,0.83925,1.04454,0.00067,0.00067,0.00067
102,2165.05,1.77004,0.90869,1.08361,0.87928,0.88203,0.92181,0.42758,1.82015,0.83925,1.04454,0.0006667,0.0006667,0.0006667
103,2191.81,1.74053,0.92963,1.08732,0.87978,0.8844,0.92692,0.43603,1.77872,0.84148,1.03511,0.0006634,0.0006634,0.0006634
104,2206.08,1.70785,0.89212,1.07477,0.87978,0.8844,0.92692,0.43603,1.77872,0.84148,1.03511,0.0006601,0.0006601,0.0006601
105,2222.62,1.62837,0.84724,1.05967,0.86303,0.90092,0.93575,0.42444,1.80521,0.8528,1.04205,0.0006568,0.0006568,0.0006568
106,2239.39,1.70107,0.92034,1.05937,0.86303,0.90092,0.93575,0.42444,1.80521,0.8528,1.04205,0.0006535,0.0006535,0.0006535
107,2260.11,1.67328,0.85738,1.07475,0.88061,0.90642,0.93556,0.42322,1.81582,0.85727,1.04491,0.0006502,0.0006502,0.0006502
108,2271.85,1.61034,0.88536,1.07031,0.88061,0.90642,0.93556,0.42322,1.81582,0.85727,1.04491,0.0006469,0.0006469,0.0006469
109,2296,1.65601,0.86445,1.09701,0.86849,0.90881,0.92859,0.43243,1.79472,0.84196,1.0407,0.0006436,0.0006436,0.0006436
110,2310.01,1.52331,0.80456,1.03603,0.86849,0.90881,0.92859,0.43243,1.79472,0.84196,1.0407,0.0006403,0.0006403,0.0006403
111,2325.11,1.6346,0.9101,1.10153,0.86742,0.88835,0.92309,0.41786,1.82447,0.83727,1.04948,0.000637,0.000637,0.000637
112,2339.69,1.64927,0.85051,1.06467,0.86742,0.88835,0.92309,0.41786,1.82447,0.83727,1.04948,0.0006337,0.0006337,0.0006337
113,2360.76,1.61958,0.84049,1.09583,0.87214,0.89174,0.90567,0.40377,1.85598,0.84364,1.0598,0.0006304,0.0006304,0.0006304
114,2386.06,1.65951,0.84874,1.07085,0.87214,0.89174,0.90567,0.40377,1.85598,0.84364,1.0598,0.0006271,0.0006271,0.0006271
115,2402.44,1.54313,0.82111,1.05247,0.86162,0.89358,0.90317,0.40418,1.82731,0.84285,1.05405,0.0006238,0.0006238,0.0006238
116,2424.53,1.69943,0.88662,1.10578,0.86162,0.89358,0.90317,0.40418,1.82731,0.84285,1.05405,0.0006205,0.0006205,0.0006205
117,2446.98,1.61295,0.84706,1.0567,0.84528,0.9122,0.91514,0.42619,1.75349,0.83529,1.0373,0.0006172,0.0006172,0.0006172
118,2473.01,1.67791,0.85419,1.09311,0.84528,0.9122,0.91514,0.42619,1.75349,0.83529,1.0373,0.0006139,0.0006139,0.0006139
119,2489.14,1.69299,0.83708,1.08545,0.86083,0.88991,0.91656,0.45124,1.68567,0.82547,1.02272,0.0006106,0.0006106,0.0006106
120,2509.53,1.63008,0.85935,1.08659,0.86083,0.88991,0.91656,0.45124,1.68567,0.82547,1.02272,0.0006073,0.0006073,0.0006073
121,2524.17,1.64677,0.82584,1.05317,0.85482,0.89671,0.9113,0.45561,1.66049,0.82019,1.01657,0.000604,0.000604,0.000604
122,2543.15,1.65709,0.85343,1.08247,0.85482,0.89671,0.9113,0.45561,1.66049,0.82019,1.01657,0.0006007,0.0006007,0.0006007
123,2559.53,1.71213,0.85388,1.09575,0.86156,0.89358,0.9075,0.45772,1.64477,0.81376,1.00983,0.0005974,0.0005974,0.0005974
124,2574.29,1.56703,0.81929,1.06399,0.86156,0.89358,0.9075,0.45772,1.64477,0.81376,1.00983,0.0005941,0.0005941,0.0005941
125,2601.19,1.70103,0.86412,1.09066,0.86843,0.89541,0.91418,0.45671,1.65531,0.80627,1.00932,0.0005908,0.0005908,0.0005908
126,2624.23,1.65866,0.85961,1.03324,0.86843,0.89541,0.91418,0.45671,1.65531,0.80627,1.00932,0.0005875,0.0005875,0.0005875
127,2653.22,1.54768,0.79319,1.03916,0.88699,0.89908,0.92212,0.4597,1.67786,0.80108,1.01362,0.0005842,0.0005842,0.0005842
128,2669.67,1.61796,0.81982,1.05553,0.88699,0.89908,0.92212,0.4597,1.67786,0.80108,1.01362,0.0005809,0.0005809,0.0005809
129,2692.57,1.67116,0.86348,1.07178,0.88631,0.89725,0.93225,0.47104,1.65378,0.79105,1.01018,0.0005776,0.0005776,0.0005776
130,2709.66,1.63607,0.83491,1.06813,0.88631,0.89725,0.93225,0.47104,1.65378,0.79105,1.01018,0.0005743,0.0005743,0.0005743
131,2744,1.74268,0.83919,1.07786,0.87751,0.92017,0.93392,0.4829,1.60996,0.78081,1.00259,0.000571,0.000571,0.000571
132,2768.77,1.64268,0.8295,1.05569,0.87751,0.92017,0.93392,0.4829,1.60996,0.78081,1.00259,0.0005677,0.0005677,0.0005677
133,2787.94,1.69401,0.83768,1.07702,0.88011,0.9159,0.934,0.48765,1.58769,0.78085,0.99874,0.0005644,0.0005644,0.0005644
134,2804.81,1.63655,0.85302,1.05925,0.88011,0.9159,0.934,0.48765,1.58769,0.78085,0.99874,0.0005611,0.0005611,0.0005611
135,2811.97,1.50833,0.83132,1.07201,0.88664,0.9211,0.93591,0.49114,1.57939,0.77979,0.99884,0.0005578,0.0005578,0.0005578
136,2827.07,1.6332,0.8371,1.04906,0.88664,0.9211,0.93591,0.49114,1.57939,0.77979,0.99884,0.0005545,0.0005545,0.0005545
137,2843.14,1.69238,0.86218,1.0972,0.89078,0.91009,0.93422,0.49119,1.57946,0.78136,1.001,0.0005512,0.0005512,0.0005512
138,2858.11,1.54763,0.8107,1.07147,0.89078,0.91009,0.93422,0.49119,1.57946,0.78136,1.001,0.0005479,0.0005479,0.0005479
139,2871.33,1.67005,0.84019,1.05682,0.89018,0.91193,0.93448,0.49137,1.57966,0.77998,1.00279,0.0005446,0.0005446,0.0005446
140,2885.96,1.61813,0.82452,1.04318,0.89018,0.91193,0.93448,0.49137,1.57966,0.77998,1.00279,0.0005413,0.0005413,0.0005413
141,2898.99,1.59459,0.87166,1.08021,0.87385,0.90459,0.92777,0.4852,1.59129,0.77989,1.00498,0.000538,0.000538,0.000538
142,2913.35,1.61199,0.83756,1.07032,0.87385,0.90459,0.92777,0.4852,1.59129,0.77989,1.00498,0.0005347,0.0005347,0.0005347
143,2941.7,1.70484,0.85428,1.065,0.86773,0.90282,0.9273,0.47604,1.61625,0.78026,1.00792,0.0005314,0.0005314,0.0005314
144,2960.87,1.64232,0.85753,1.06178,0.86773,0.90282,0.9273,0.47604,1.61625,0.78026,1.00792,0.0005281,0.0005281,0.0005281
145,2978.5,1.57748,0.79831,1.03504,0.86784,0.89725,0.91546,0.46783,1.64163,0.78093,1.01091,0.0005248,0.0005248,0.0005248
146,2993.14,1.67147,0.83452,1.056,0.86784,0.89725,0.91546,0.46783,1.64163,0.78093,1.01091,0.0005215,0.0005215,0.0005215
147,3007.3,1.66153,0.85723,1.06978,0.87868,0.89041,0.91774,0.47466,1.62255,0.77841,1.00483,0.0005182,0.0005182,0.0005182
148,3027.96,1.62977,0.81134,1.06691,0.87868,0.89041,0.91774,0.47466,1.62255,0.77841,1.00483,0.0005149,0.0005149,0.0005149
149,3035.44,1.6381,0.83294,1.07393,0.8613,0.89541,0.90818,0.48641,1.57428,0.77198,0.9951,0.0005116,0.0005116,0.0005116
150,3051.46,1.71077,0.84702,1.06296,0.8613,0.89541,0.90818,0.48641,1.57428,0.77198,0.9951,0.0005083,0.0005083,0.0005083
